City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,baiyin,36.5583,104.2081,281.1,36,0,1.53,CN,1699936389
229,georgetown,5.4112,100.3354,304.11,74,20,3.09,MY,1699936389
230,inirida,3.8653,-67.9239,296.88,96,100,0.49,CO,1699936389
231,saldanha,-33.0117,17.9442,292.18,66,16,2.88,ZA,1699936189
232,mejit,10.2753,170.8646,300.27,84,98,6.0,MH,1699936390
233,kujang-up,39.8672,126.0303,278.38,42,100,1.4,KP,1699936391
234,ivolginsk,51.7492,107.2837,268.96,68,40,1.0,RU,1699936391
235,la'ie,21.6477,-157.9253,300.13,74,52,2.24,US,1699936392
236,acarau,-2.8856,-40.12,299.29,79,81,5.84,BR,1699936392
237,broome,42.2506,-75.833,276.93,82,16,0.89,US,1699936132
238,puerto aysen,-45.4,-72.7,275.35,99,100,2.34,CL,1699936393
239,alaghsas,17.0187,8.0168,295.53,16,2,4.85,NE,1699936393
240,riohacha,11.5444,-72.9072,300.78,81,82,5.64,CO,1699936394
241,esil,51.9556,66.4042,277.38,73,100,7.6,KZ,1699936394
242,levuka,50.1834,-105.4011,276.99,57,17,6.06,CA,1699936394
243,kinmparana,12.8402,-4.9199,297.17,17,5,3.0,ML,1699936395
244,balkanabat,39.5108,54.3671,293.89,26,6,3.02,TM,1699936395
245,dongola,19.1667,30.4833,299.24,35,90,5.34,SD,1699936163
246,imbituba,-28.24,-48.6703,297.51,97,100,0.37,BR,1699936396
247,tazovsky,67.4667,78.7,255.34,98,61,3.68,RU,1699936340
248,tahoua,14.8888,5.2692,295.14,18,0,4.12,NE,1699936397
249,sampit,-2.5333,112.95,306.12,58,85,1.11,ID,1699936398
250,kruisfontein,-34.0033,24.7314,287.95,70,29,4.39,ZA,1699936398
251,guerrero negro,27.9769,-114.0611,293.24,60,100,3.78,MX,1699936399
252,milove,49.3787,40.1302,277.89,78,100,1.47,UA,1699936399
253,khomeyn,33.6423,50.0789,286.36,24,47,1.06,IR,1699936399
254,tabou,4.423,-7.3528,298.77,87,7,1.77,CI,1699936400
255,'ohonua,4.423,-7.3528,298.77,87,7,1.77,CI,1699936400
256,pasuquin,18.3328,120.6177,306.12,55,75,6.17,PH,1699936401
257,arenapolis,-14.4503,-56.8461,299.57,57,92,1.86,BR,1699936402
258,belmonte,-15.8631,-38.8828,296.96,84,10,4.34,BR,1699936402
259,ust'-kulom,61.6864,53.6902,275.53,99,100,3.31,RU,1699936403
260,bilibino,68.0546,166.4372,243.92,100,100,0.77,RU,1699936403
261,rabaul,-4.1967,152.1721,301.47,69,24,3.07,PG,1699936404
262,cuito,-12.3833,16.9333,289.71,88,70,1.43,AO,1699936404
