City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,komotini,41.1228,25.3964,282.07,88,35,0.4,GR,1699924240
172,pacific grove,36.6177,-121.9166,288.39,80,0,4.92,US,1699923952
173,port lincoln,-34.7333,135.8667,289.88,70,64,4.74,AU,1699924241
174,bredasdorp,-34.5322,20.0403,287.96,81,9,7.13,ZA,1699924241
175,acapulco de juarez,16.8634,-99.8901,303.05,70,0,6.17,MX,1699924242
176,selfoss,63.9331,-20.9971,279.84,71,100,7.98,IS,1699924242
177,terrace,54.5163,-128.6035,273.83,93,21,1.2,CA,1699924068
178,viedma,-40.8135,-62.9967,292.68,24,94,7.68,AR,1699924243
179,seydi,39.4816,62.9137,281.92,42,96,3.73,TM,1699924243
180,nyagan,62.1406,65.3936,267.32,94,100,5.03,RU,1699924243
181,opp,31.2827,-86.2555,289.11,99,100,3.08,US,1699924244
182,broken hill,-31.95,141.4333,296.97,27,31,5.47,AU,1699924244
183,abeche,13.8292,20.8324,302.81,36,99,2.49,TD,1699924244
184,lorengau,-2.0226,147.2712,301.11,80,100,2.86,PG,1699924245
185,luderitz,-26.6481,15.1594,288.43,81,0,1.94,NA,1699924245
186,baihe,22.15,107.2333,286.26,75,100,1.65,CN,1699924245
187,richards bay,-28.783,32.0377,290.81,83,100,4.74,ZA,1699924246
188,nar'yan-mar,67.6713,53.087,262.1,88,100,4.02,RU,1699924246
189,tura,25.5198,90.2201,291.96,84,6,1.44,IN,1699924246
190,nantucket,41.2835,-70.0995,277.67,64,100,4.57,US,1699924226
191,evanston,42.0411,-87.6901,285.43,35,0,2.06,US,1699924031
192,persembe,41.0656,37.7714,290.83,80,100,5.7,TR,1699924247
193,alofi,-19.0595,-169.9187,299.09,83,100,6.17,NU,1699924248
194,kayangel,8.0823,134.7173,301.9,78,63,6.87,PW,1699924248
195,yaren,-0.5472,166.916,301.13,79,100,11.88,NR,1699924248
196,yemetsk,63.4721,41.7941,270.42,96,95,2.86,RU,1699924249
197,illela,13.7292,5.2975,297.62,13,100,4.9,NG,1699924249
198,hayvoron,48.3396,29.8679,277.51,70,24,1.25,UA,1699924249
199,'ohonua,48.3396,29.8679,277.51,70,24,1.25,UA,1699924249
200,dili,-8.5586,125.5736,303.04,62,4,2.35,TL,1699924250
201,isafjordur,66.0755,-23.124,274.76,86,57,2.89,IS,1699924250
202,prince rupert,54.3161,-130.3201,279.98,79,75,2.57,CA,1699924250
203,januaria,-15.4833,-44.3667,299.5,33,0,0.32,BR,1699924083
204,novaya igirma,57.1334,103.9112,271.88,92,100,4.39,RU,1699924251
205,petropavlovsk-kamchatsky,53.0452,158.6483,270.07,74,0,12.52,RU,1699924159
206,homer,59.6425,-151.5483,278.09,63,20,7.72,US,1699924252
207,thompson,55.7435,-97.8558,269.98,96,100,1.59,CA,1699924253
208,kendari,-3.945,122.4989,303.21,67,43,0.45,ID,1699924162
209,san patricio,28.017,-97.5169,290.84,91,100,5.33,US,1699924253
210,fale old settlement,-9.3852,-171.2468,299.64,89,100,6.38,TK,1699924254
211,prince george,53.9166,-122.753,273.85,96,100,1.99,CA,1699924078
212,deder,9.3167,41.45,286.12,80,33,1.14,ET,1699924254
213,bengkulu,-3.8004,102.2655,298.94,87,92,0.8,ID,1699924255
214,bayganin,48.6947,55.8742,278.49,73,100,8.07,KZ,1699924255
215,mossel bay,-34.1831,22.146,288.77,85,4,8.6,ZA,1699924255
216,knyaze-volkonskoye,48.4642,135.4567,264.34,93,46,2.24,RU,1699924256
217,fort st. john,56.2499,-120.8529,268.09,93,40,2.57,CA,1699924211
218,howrah,22.5892,88.3103,294.15,88,40,2.57,IN,1699924256
219,songjianghe,42.1859,127.479,271.13,57,7,1.75,CN,1699924256
220,borgo,46.0514,11.4544,281.68,67,48,1.44,IT,1699924257
221,salalah,17.0151,54.0924,299.2,89,34,2.06,OM,1699924257
222,puerto ayacucho,5.6639,-67.6236,298.24,91,92,1.66,VE,1699924257
223,saarijarvi,62.7049,25.254,271.24,92,100,3.1,FI,1699924258
224,ciudad lazaro cardenas,17.9583,-102.2,300.64,78,97,3.06,MX,1699924132
225,lesnoy,57.6198,63.0784,275.85,91,100,4.89,RU,1699924258
226,sept-iles,50.2001,-66.3821,270.15,83,67,3.09,CA,1699924259
227,fortuna,40.5982,-124.1573,287.58,92,75,0.0,US,1699924259
228,gutao,37.2025,112.1781,277.72,32,0,1.41,CN,1699924259
229,vorkuta,67.5,64.0,259.49,90,100,3.14,RU,1699924156
230,estacion coahuila,32.1939,-115.0017,297.53,18,100,2.29,MX,1699924260
231,anna regina,7.2644,-58.5077,299.44,85,0,3.36,GY,1699924260
232,hailey,43.5196,-114.3153,279.07,48,0,1.34,US,1699924025
233,hithadhoo,-0.6,73.0833,300.2,81,70,3.87,MV,1699924261
234,hamilton,39.1834,-84.5333,285.42,49,0,2.06,US,1699924090
235,kingman,35.1894,-114.053,291.79,24,0,3.6,US,1699924262
236,tselina,46.5338,41.0328,282.08,94,100,5.93,RU,1699924262
237,tortoli,39.9256,9.6572,290.2,71,6,3.89,IT,1699924263
238,qurayyat,31.3318,37.3428,290.25,59,40,4.12,SA,1699924263
239,lubang,13.8584,120.124,300.14,83,100,11.1,PH,1699924263
240,constitucion,-35.3333,-72.4167,283.5,84,10,6.61,CL,1699924264
